               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10433,            0.020547,            0.074056,           0.0028464,             0.75278,            0.016737,           0.0046262,            0.052194,            0.010772,             0.04727,              0.0856,              0.0016,              0.0016
                   1,            0.069283,            0.023776,            0.070251,            0.013892,             0.85711,             0.06115,            0.019563,             0.04004,           0.0090174,            0.044493,            0.070246,           0.0032456,           0.0032456
                   2,             0.05482,            0.021001,            0.067026,            0.085592,             0.31163,             0.10398,            0.033715,            0.040307,           0.0069703,            0.042787,            0.054835,            0.004835,            0.004835
                   3,            0.049287,            0.019013,            0.065396,             0.07703,             0.22671,             0.13428,             0.03013,            0.039337,           0.0062013,            0.042946,            0.039368,           0.0063683,           0.0063683
                   4,            0.045726,            0.017739,            0.064738,             0.11926,             0.42687,             0.14541,            0.048521,            0.040271,           0.0057161,            0.042331,            0.023846,           0.0078456,           0.0078456
                   5,             0.04477,            0.016318,             0.06248,             0.76904,             0.17992,             0.21764,             0.06331,            0.037924,           0.0054377,            0.038364,            0.009175,            0.009175,            0.009175
                   6,            0.042217,            0.015541,            0.059964,             0.25946,             0.53103,             0.41242,             0.21017,            0.026361,            0.005872,            0.035081,            0.009175,            0.009175,            0.009175
                   7,            0.039539,            0.015141,            0.057416,             0.25646,             0.42717,             0.27274,            0.091276,            0.031137,           0.0065587,            0.033762,             0.00901,             0.00901,             0.00901
                   8,            0.036965,            0.014747,            0.054744,             0.30096,             0.64464,             0.53146,             0.27289,            0.025096,           0.0045307,             0.03153,            0.008845,            0.008845,            0.008845
                   9,            0.036032,            0.014233,             0.05082,             0.55209,              0.4831,             0.52326,             0.23454,             0.02778,            0.004896,            0.033652,             0.00868,             0.00868,             0.00868
                  10,            0.035634,            0.014482,            0.048307,             0.40238,             0.74152,             0.58744,             0.29489,            0.024249,           0.0053269,            0.024379,            0.008515,            0.008515,            0.008515
                  11,            0.035909,            0.014309,            0.045694,             0.38366,             0.78155,             0.71514,             0.36652,            0.026188,           0.0051609,            0.020947,             0.00835,             0.00835,             0.00835
                  12,            0.034637,            0.013973,            0.042542,             0.43314,             0.69853,             0.63121,             0.28052,            0.029302,           0.0059797,            0.024567,            0.008185,            0.008185,            0.008185
                  13,            0.033981,            0.013946,            0.041767,             0.44015,             0.68502,             0.68629,             0.24167,            0.034097,           0.0055614,            0.030528,             0.00802,             0.00802,             0.00802
                  14,            0.034238,            0.013937,            0.039869,              0.5894,             0.88719,             0.81937,             0.49199,            0.022551,           0.0052363,            0.015829,            0.007855,            0.007855,            0.007855
                  15,            0.034293,            0.014058,            0.038768,             0.53278,             0.84221,             0.80185,             0.40007,            0.023547,           0.0059518,            0.017481,             0.00769,             0.00769,             0.00769
                  16,            0.033459,            0.013617,            0.037053,             0.67798,             0.85017,             0.83887,             0.39497,            0.026104,           0.0053416,            0.014262,            0.007525,            0.007525,            0.007525
                  17,            0.032704,            0.013883,            0.035776,             0.50494,             0.67531,             0.68996,             0.33843,            0.025079,           0.0067822,            0.022445,             0.00736,             0.00736,             0.00736
                  18,            0.032779,            0.013477,            0.035836,             0.67044,             0.83004,             0.83048,             0.42132,            0.024193,           0.0045123,            0.021051,            0.007195,            0.007195,            0.007195
                  19,            0.032708,            0.013326,            0.034297,             0.66947,             0.73294,             0.78151,             0.45035,            0.022202,           0.0043718,            0.018736,             0.00703,             0.00703,             0.00703
                  20,            0.032586,            0.013132,            0.032101,             0.71027,             0.85114,             0.84777,             0.46571,            0.021997,           0.0047125,            0.017312,            0.006865,            0.006865,            0.006865
                  21,            0.031891,            0.013097,            0.032015,             0.80958,             0.84481,             0.93041,             0.43899,            0.024542,           0.0053908,            0.008242,              0.0067,              0.0067,              0.0067
                  22,            0.031792,            0.013471,            0.032463,             0.74275,             0.82365,             0.81474,             0.30175,            0.031207,           0.0047548,            0.016087,            0.006535,            0.006535,            0.006535
                  23,            0.030756,            0.012964,            0.029486,             0.81648,             0.90153,             0.89171,             0.48281,            0.023547,           0.0045558,            0.010999,             0.00637,             0.00637,             0.00637
                  24,            0.030895,            0.012918,            0.029006,             0.74825,             0.89576,             0.89613,             0.54207,            0.020868,           0.0047282,           0.0097248,            0.006205,            0.006205,            0.006205
                  25,            0.030705,            0.012959,            0.029022,             0.77703,             0.80787,             0.85499,             0.50178,            0.021371,           0.0063561,            0.011946,             0.00604,             0.00604,             0.00604
                  26,            0.030187,            0.012989,            0.028694,             0.78358,             0.81122,             0.90545,             0.52079,            0.020557,           0.0055087,            0.012735,            0.005875,            0.005875,            0.005875
                  27,            0.030414,            0.012582,            0.027888,              0.7291,             0.83656,             0.85903,             0.38641,             0.02725,           0.0050376,            0.015983,             0.00571,             0.00571,             0.00571
                  28,            0.029778,            0.012848,            0.026739,             0.81869,             0.88736,             0.92684,             0.52348,             0.02153,           0.0052442,           0.0081577,            0.005545,            0.005545,            0.005545
                  29,            0.030434,            0.013042,            0.026014,             0.94417,             0.85763,             0.94985,             0.61556,            0.017007,           0.0043545,           0.0056819,             0.00538,             0.00538,             0.00538
                  30,            0.029423,            0.012551,            0.024718,             0.87952,             0.91434,             0.96011,             0.57638,            0.020088,           0.0048487,            0.011351,            0.005215,            0.005215,            0.005215
                  31,            0.029035,            0.012481,             0.02425,             0.96258,             0.95062,             0.99389,             0.54255,            0.021922,           0.0046028,           0.0046839,             0.00505,             0.00505,             0.00505
                  32,            0.029582,            0.012672,            0.025549,             0.88523,             0.80765,             0.88584,             0.49956,            0.022054,           0.0047111,            0.011594,            0.004885,            0.004885,            0.004885
                  33,            0.029367,            0.012309,            0.024141,             0.92822,             0.91007,             0.97592,             0.52538,            0.023733,           0.0043531,           0.0061071,             0.00472,             0.00472,             0.00472
                  34,            0.029243,            0.012489,            0.025265,             0.91682,             0.93974,              0.9786,             0.41328,            0.027167,           0.0042654,           0.0051723,            0.004555,            0.004555,            0.004555
                  35,            0.028616,            0.012475,            0.023823,             0.88997,             0.85384,             0.93625,             0.60067,            0.019558,            0.004206,           0.0098835,             0.00439,             0.00439,             0.00439
                  36,            0.028365,            0.012032,            0.023123,             0.90852,             0.88585,             0.94899,             0.52183,            0.022068,           0.0046436,           0.0067022,            0.004225,            0.004225,            0.004225
                  37,            0.028103,            0.012209,            0.023599,             0.87626,             0.90873,             0.94207,             0.55695,            0.021033,           0.0041954,           0.0060476,             0.00406,             0.00406,             0.00406
                  38,            0.027754,            0.012024,            0.022545,             0.81368,             0.91935,             0.96926,             0.58532,            0.019267,           0.0046598,           0.0071163,            0.003895,            0.003895,            0.003895
                  39,            0.027425,            0.012266,            0.023206,             0.91945,             0.83093,             0.93774,             0.60598,            0.018004,           0.0045328,           0.0082123,             0.00373,             0.00373,             0.00373
                  40,            0.026411,            0.011892,            0.022367,             0.94308,             0.92646,             0.96828,             0.62212,            0.016895,           0.0045661,           0.0049591,            0.003565,            0.003565,            0.003565
                  41,            0.026886,            0.012002,            0.021944,             0.90273,             0.91201,             0.96389,             0.62965,            0.016218,           0.0044224,           0.0069155,              0.0034,              0.0034,              0.0034
                  42,            0.026544,            0.011955,            0.021444,             0.96868,             0.93363,             0.98044,              0.6564,             0.01737,           0.0040176,           0.0036524,            0.003235,            0.003235,            0.003235
                  43,            0.027247,            0.012021,            0.021638,             0.90013,             0.94239,             0.96749,             0.65417,            0.016489,           0.0041333,           0.0040268,             0.00307,             0.00307,             0.00307
                  44,            0.026527,            0.011997,            0.020016,             0.96521,             0.93655,             0.97924,             0.63404,            0.017326,           0.0045361,           0.0028949,            0.002905,            0.002905,            0.002905
                  45,            0.025993,            0.011789,            0.020365,             0.95162,               0.943,              0.9825,                0.66,            0.017418,           0.0041376,           0.0027312,             0.00274,             0.00274,             0.00274
                  46,             0.02618,            0.011556,            0.020629,             0.91244,             0.94168,             0.97285,              0.5666,            0.021125,           0.0041127,           0.0045202,            0.002575,            0.002575,            0.002575
                  47,            0.025381,             0.01181,            0.020048,             0.95948,              0.9426,             0.98022,             0.64144,            0.018145,           0.0040719,           0.0036623,             0.00241,             0.00241,             0.00241
                  48,             0.02531,            0.011473,            0.020342,              0.9327,             0.94477,             0.97218,             0.64705,            0.016949,           0.0040035,           0.0030759,            0.002245,            0.002245,            0.002245
                  49,            0.025211,            0.011751,            0.019883,             0.89872,             0.94813,             0.98214,             0.67887,            0.016291,           0.0042817,           0.0042884,             0.00208,             0.00208,             0.00208
                  50,            0.025465,            0.011606,            0.018879,             0.95755,             0.92445,             0.97503,             0.67055,            0.016178,           0.0043625,           0.0036635,            0.001915,            0.001915,            0.001915
                  51,            0.024447,            0.011613,            0.019855,             0.97155,             0.94267,             0.99222,             0.71047,            0.015668,           0.0041715,           0.0030759,             0.00175,             0.00175,             0.00175
                  52,            0.024424,            0.011475,            0.018744,             0.92744,               0.941,              0.9766,              0.6297,            0.018565,           0.0042184,           0.0034962,            0.001585,            0.001585,            0.001585
                  53,            0.023952,            0.011309,            0.018181,             0.97108,              0.9455,             0.98878,             0.66626,            0.017016,           0.0040166,           0.0025719,             0.00142,             0.00142,             0.00142
                  54,            0.024092,            0.011158,             0.01791,              0.9455,             0.95278,              0.9791,             0.67532,            0.016236,           0.0042282,            0.003371,            0.001255,            0.001255,            0.001255
                  55,            0.023789,            0.011181,            0.017409,             0.96659,             0.95426,               0.985,              0.6804,             0.01625,           0.0042245,           0.0029184,             0.00109,             0.00109,             0.00109
                  56,             0.02353,            0.011408,            0.017025,              0.9739,             0.95455,             0.98875,             0.70391,            0.015779,           0.0041364,           0.0024324,            0.000925,            0.000925,            0.000925
                  57,            0.023282,            0.011325,            0.016473,             0.97258,             0.96943,             0.99222,             0.67447,            0.016768,           0.0041228,           0.0020506,             0.00076,             0.00076,             0.00076
                  58,            0.022942,            0.011147,            0.017261,             0.97462,             0.96296,             0.99024,             0.69024,             0.01643,           0.0041422,           0.0020469,            0.000595,            0.000595,            0.000595
                  59,            0.023032,            0.010984,            0.017999,             0.95553,             0.95732,             0.98426,             0.70217,            0.015782,           0.0041318,           0.0023531,             0.00043,             0.00043,             0.00043
