               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10278,            0.018324,            0.066687,           0.0032971,             0.93571,            0.029311,           0.0087351,             0.06206,            0.011026,            0.056129,              0.0811,              0.0021,              0.0021
                   1,            0.057485,            0.021513,            0.058636,             0.36524,             0.22777,              0.1634,            0.065393,            0.052058,           0.0093797,            0.054382,            0.061194,           0.0041936,           0.0041936
                   2,              0.0476,            0.016884,            0.054252,             0.31635,             0.47245,             0.35798,             0.16217,            0.036813,           0.0057014,            0.050377,            0.041178,           0.0061782,           0.0061782
                   3,             0.04634,            0.013807,            0.048881,             0.37974,             0.44853,              0.5494,             0.28156,            0.039718,           0.0047537,            0.033716,            0.021054,            0.008054,            0.008054
                   4,            0.044205,            0.011524,            0.039273,             0.73226,              0.6006,              0.7619,             0.37144,            0.037005,           0.0039698,            0.023594,             0.00901,             0.00901,             0.00901
                   5,             0.04129,            0.009995,            0.028082,             0.81561,             0.78402,             0.87179,             0.55966,            0.029428,           0.0038008,            0.015174,             0.00901,             0.00901,             0.00901
                   6,            0.037347,           0.0096338,            0.019975,             0.85915,             0.79259,             0.88598,             0.52714,            0.027904,           0.0041906,            0.014376,           0.0087625,           0.0087625,           0.0087625
                   7,            0.034479,           0.0091283,            0.015375,             0.90714,             0.95323,             0.96846,             0.62063,            0.026242,           0.0037625,           0.0063624,            0.008515,            0.008515,            0.008515
                   8,            0.032994,           0.0090759,            0.013632,             0.93126,              0.9306,              0.9707,             0.71681,            0.020774,           0.0034645,           0.0082283,           0.0082675,           0.0082675,           0.0082675
                   9,            0.030805,           0.0085986,            0.011671,              0.9532,             0.97089,             0.98103,             0.74631,            0.020182,           0.0030894,           0.0051188,             0.00802,             0.00802,             0.00802
                  10,            0.028811,           0.0084497,            0.011509,             0.97252,             0.97278,             0.99157,             0.72346,            0.020356,           0.0028959,            0.003808,           0.0077725,           0.0077725,           0.0077725
                  11,            0.028697,           0.0082226,            0.010334,             0.96999,             0.97143,             0.99182,             0.75546,             0.01839,           0.0031654,           0.0042868,            0.007525,            0.007525,            0.007525
